figure_type,figure_no,title_name,variable,flip_sign,variable_rename,regions,models,years,scenarios,type,position,x,y,facet1,facet2,color,page_filter,scales
stackbar,5,Capacity Additions2,Capacity Additions|Electricity|Other,0,Other,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Additions|Electricity|Solar,0,Solar,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Additions|Electricity|Nuclear,0,Nuclear,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Additions|Electricity|Wind,0,Wind,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Additions|Electricity|Gas|w/ CCS,0,Gas CCS,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Additions|Electricity|Coal|w/ CCS,0,Coal CCS,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Additions|Electricity|Storage Capacity,0,Storage,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Coal|w/o CCS,0,Coal,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Gas|w/o CCS,0,Gas,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Hydro,0,Hydro,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Other,0,Other,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Solar,0,Solar,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Nuclear,0,Nuclear,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Wind,0,Wind,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Gas|w/ CCS,0,Gas CCS,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Coal|w/ CCS,0,Coal CCS,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,5,Capacity Additions2,Capacity Retirements|Electricity|Storage Capacity,0,Storage,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
