"model","scenario","variable_rename","year","value"
"RIO-REPEAT","IRA","Electricity",2025,1460.5
"RIO-REPEAT","IRA","Electricity",2030,741
"RIO-REPEAT","IRA","Electricity",2035,370
"RIO-REPEAT","IRA","Electricity",2021,1540.9
"ReEDS-NREL","No IRA","Electricity",2025,1361.65313741276
"ReEDS-NREL","No IRA","Electricity",2030,1238.16547546738
"ReEDS-NREL","No IRA","Electricity",2035,1165.17798641427
"ReEDS-NREL","No IRA","Electricity",2021,1540.9
"ReEDS-NREL","IRA","Electricity",2025,1152.97854629897
"ReEDS-NREL","IRA","Electricity",2030,413.513524771282
"ReEDS-NREL","IRA","Electricity",2035,323.38378502023
"ReEDS-NREL","IRA","Electricity",2021,1540.9
"AEO.2023","No IRA","Electricity",2025,1317.436523
"AEO.2023","No IRA","Electricity",2030,1177.160889
"AEO.2023","No IRA","Electricity",2035,1100.493042
"AEO.2023","No IRA","Electricity",2022,1507.266113
"AEO.2023","No IRA","Electricity",2023,1396.958008
"AEO.2023","No IRA","Electricity",2024,1387.346802
"AEO.2023","No IRA","Electricity",2026,1269.72522
"AEO.2023","No IRA","Electricity",2027,1235.09375
"AEO.2023","No IRA","Electricity",2028,1214.805298
"AEO.2023","No IRA","Electricity",2029,1202.780518
"AEO.2023","No IRA","Electricity",2031,1144.698242
"AEO.2023","No IRA","Electricity",2032,1121.275391
"AEO.2023","No IRA","Electricity",2033,1117.068115
"AEO.2023","No IRA","Electricity",2034,1111.81311
"AEO.2023","No IRA","Electricity",2021,1540.9
"AEO.2023","IRA","Electricity",2025,1295.490356
"AEO.2023","IRA","Electricity",2030,768.311584
"AEO.2023","IRA","Electricity",2035,714.001099
"AEO.2023","IRA","Electricity",2022,1507.019531
"AEO.2023","IRA","Electricity",2023,1396.994263
"AEO.2023","IRA","Electricity",2024,1395.245239
"AEO.2023","IRA","Electricity",2026,1161.389648
"AEO.2023","IRA","Electricity",2027,1024.768433
"AEO.2023","IRA","Electricity",2028,913.385315
"AEO.2023","IRA","Electricity",2029,828.363403
"AEO.2023","IRA","Electricity",2031,748.608398
"AEO.2023","IRA","Electricity",2032,743.979004
"AEO.2023","IRA","Electricity",2033,739.65332
"AEO.2023","IRA","Electricity",2034,722.299683
"AEO.2023","IRA","Electricity",2021,1540.9
"EPA-GHGI","Historic","Electricity",2021,1540.9
